league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
alemanha_bundesliga_2026_2027,2026-08-28,1,FC Bayern München,VfB Stuttgart,5,1,FC Bayern München,home,59,21,9,6,14,7,6,4.06,7,4,3,548,448,81.8,61,29,48,10,2,20,22,10,45,51,64,33,52,30,15,50,6,6,67,10,1,3,9,15,4,17,21,11,50,7,1,8,3,3,0,,0.14,0,0,194,145,75,61,49,1,79,17,71,38,50,45,3.93
alemanha_bundesliga_2026_2027,2026-08-28,1,FC Bayern München,VfB Stuttgart,5,1,VfB Stuttgart,away,41,11,4,3,7,4,4,0.79,2,0,2,370,280,75.7,45,17,38,15,2,13,3,2,67,49,64,31,48,30,15,50,19,19,63,17,3,1,3,8,7,10,25,12,44,5,1,0,5,5,1,,-0.56,1,1,119,78,66,49,17,3,62,27,56,49,26,24,0.86
alemanha_bundesliga_2026_2027,2026-08-29,1,1. FC Köln,TSG Hoffenheim,3,2,1. FC Köln,home,41,18,6,7,13,5,5,1.95,4,2,2,344,277,80.5,62,26,42,24,7,29,8,4,50,48,63,36,57,39,13,33,18,18,72,11,0,,6,17,12,14,36,8,33,9,0,1,2,2,1,,-0.01,,1,99,66,67,40,30,1,79,17,86,49,54,34,1.71
alemanha_bundesliga_2026_2027,2026-08-29,1,1. FC Köln,TSG Hoffenheim,3,2,TSG Hoffenheim,away,59,15,4,7,8,7,4,1.88,3,0,3,492,425,86.4,52,31,60,29,8,28,12,4,33,52,63,27,43,39,26,67,13,13,62,14,2,,7,21,8,10,29,8,35,10,0,0,3,3,2,,-0.16,,1,157,119,76,64,34,1,104,23,97,43,67,34,1.75
alemanha_bundesliga_2026_2027,2026-08-29,1,1. FC Union Berlin,Eintracht Frankfurt,3,3,1. FC Union Berlin,home,49,19,10,3,15,4,6,1.84,3,2,1,361,245,67.9,63,15,24,27,10,37,8,2,25,45,62,29,47,51,22,43,19,19,79,11,2,2,5,35,7,10,41,12,48,7,0,0,0,0,0,1,-1.25,2,1,129,71,55,73,31,3,76,36,75,32,37,32,1.92
alemanha_bundesliga_2026_2027,2026-08-29,1,1. FC Union Berlin,Eintracht Frankfurt,3,3,Eintracht Frankfurt,away,51,12,3,4,7,5,5,1.47,4,3,1,393,299,76.1,65,27,42,16,3,19,20,10,50,55,62,33,53,51,29,57,13,13,62,10,4,2,2,32,2,11,50,10,48,9,0,1,8,8,1,0,0.46,0,0,126,84,67,55,34,3,86,22,83,47,39,31,1.37
alemanha_bundesliga_2026_2027,2026-08-29,1,1. FSV Mainz 05,SC Paderborn 07,0,0,1. FSV Mainz 05,home,51,21,4,11,14,7,6,1.23,2,,2,461,385,83.5,42,24,57,39,13,33,9,4,44,49,54,28,52,41,19,46,16,16,63,8,1,1,11,19,6,10,28,12,44,10,1,,0,0,0,1,0.0,,,180,128,71,65,36,2,94,30,72,31,59,39,1.24
alemanha_bundesliga_2026_2027,2026-08-29,1,1. FSV Mainz 05,SC Paderborn 07,0,0,SC Paderborn 07,away,49,10,0,6,6,4,4,0.73,1,,1,462,386,83.5,51,28,55,15,2,13,6,3,50,51,54,26,48,41,22,54,15,15,53,10,2,1,2,15,11,8,53,14,43,13,0,,4,4,1,0,0.7,,,77,55,71,23,19,1,81,25,90,51,35,24,0.76
alemanha_bundesliga_2026_2027,2026-08-29,1,Borussia Dortmund,Hamburger SV,2,0,Borussia Dortmund,home,56,20,6,10,12,8,4,1.53,0,,0,538,472,87.7,40,22,55,14,4,29,18,9,50,58,73,42,58,18,11,61,14,14,71,13,2,1,3,20,6,19,18,13,42,4,0,,3,3,2,1,0.17,,,160,119,74,74,33,3,100,35,75,40,46,25,1.42
alemanha_bundesliga_2026_2027,2026-08-29,1,Borussia Dortmund,Hamburger SV,2,0,Hamburger SV,away,44,8,3,5,4,4,0,0.91,2,,2,419,339,80.9,44,16,36,13,4,31,13,6,46,42,73,31,42,18,7,39,13,13,54,19,1,1,1,23,17,13,16,13,40,7,1,,5,5,2,0,-0.33,,,95,64,67,42,17,2,65,20,70,63,24,17,0.8
