league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,CA Independiente,home,58,11,4,2,7,4,5,0.89,2,,2,464,367,79.1,48,17,35,18,6,33,21,10,48,56,71,42,59,19,8,42,18,18,67,7,1,5,7,26,8,15,8,9,54,7,0,1,1,1,1,0,-2.63,,,111,57,51,62,21,2,98,28,88,46,73,26,0.89
argentina_primera_division_2026,2026-08-30,7,CA Independiente,Gimnasia y Esgrima Mendoza,0,3,Gimnasia y Esgrima Mendoza,away,42,11,4,6,4,7,1,0.65,2,,2,330,248,75.2,51,22,43,13,5,38,14,4,29,44,71,29,41,19,11,58,18,18,61,15,1,1,4,25,9,7,22,12,61,8,0,0,4,4,1,1,1.01,,,79,44,56,51,13,0,73,20,89,57,34,23,0.65
argentina_primera_division_2026,2026-08-31,7,Defensa y Justicia,Club Atlético Platense,1,0,Club Atlético Platense,away,44,13,3,9,7,6,1,0.51,0,0,0,306,230,75.2,48,23,48,26,8,31,29,9,31,44,79,35,44,33,14,42,15,15,60,15,4,1,7,26,7,11,21,16,63,6,0,,2,2,0,,0.27,,0,110,61,55,59,26,0,99,31,91,42,63,27,0.53
argentina_primera_division_2026,2026-08-31,7,Defensa y Justicia,Club Atlético Platense,1,0,Defensa y Justicia,home,56,10,3,6,6,4,1,1.1,5,1,4,409,326,79.7,56,27,48,18,5,28,8,3,38,56,78,43,55,32,19,59,25,25,80,10,3,1,6,16,12,15,34,13,53,10,1,,3,3,1,,0.19,,1,114,83,73,54,18,5,99,31,92,47,49,22,1.08
argentina_primera_division_2026,2026-08-31,7,Estudiantes de La Plata,Newell's Old Boys,0,0,Estudiantes de La Plata,home,62,23,9,9,16,7,5,2.17,5,,5,544,447,82.2,59,33,56,19,6,32,17,5,29,57,78,45,58,26,14,54,25,25,60,10,1,3,6,20,8,15,17,6,56,5,1,,2,2,1,0,0.17,,,131,88,67,62,33,0,119,28,96,35,62,37,2.31
argentina_primera_division_2026,2026-08-31,7,Estudiantes de La Plata,Newell's Old Boys,0,0,Newell's Old Boys,away,38,9,2,6,4,5,1,1.07,2,,2,334,239,71.6,66,25,38,11,2,18,15,6,40,43,75,32,43,28,13,46,16,16,56,15,1,4,0,25,16,10,36,10,56,14,0,,9,9,1,1,1.71,,,90,52,58,48,10,2,103,27,97,54,41,19,1.07
argentina_primera_division_2026,2026-08-31,7,Independiente Rivadavia,Racing Club,3,1,Independiente Rivadavia,home,42,19,9,5,11,8,5,3.1,6,2,4,292,202,69.2,51,24,47,17,4,24,11,6,55,46,66,28,42,29,16,55,12,12,75,15,3,4,3,18,7,11,25,15,48,11,0,,3,3,1,1,0.09,,,98,56,57,54,22,1,85,15,97,48,50,37,3.09
argentina_primera_division_2026,2026-08-31,7,Independiente Rivadavia,Racing Club,3,1,Racing Club,away,58,11,4,5,6,5,2,0.77,2,0,2,398,304,76.4,57,20,35,18,1,6,11,7,64,54,66,38,58,29,13,45,16,16,75,12,2,0,5,18,8,15,29,13,47,8,1,,6,6,1,0,0.32,,,127,79,62,63,13,2,108,27,103,52,49,21,0.77
argentina_primera_division_2026,2026-09-01,7,Instituto De Córdoba,San Lorenzo,1,0,Instituto De Córdoba,home,49,19,3,10,13,6,6,1.59,4,,4,342,261,76.3,64,27,42,35,8,23,12,6,50,55,69,40,58,33,16,48,24,24,67,7,2,0,11,31,8,11,20,12,52,8,0,,1,1,,1,0.06,,,123,81,66,62,27,3,71,35,48,34,55,31,1.59
argentina_primera_division_2026,2026-09-01,7,Instituto De Córdoba,San Lorenzo,1,0,San Lorenzo,away,51,5,1,4,2,3,0,0.28,2,,2,385,300,77.9,57,30,53,9,2,22,22,8,36,45,70,30,43,33,17,52,14,14,71,11,5,1,1,25,14,7,31,9,46,10,1,,2,2,,0,-0.43,,,81,46,57,48,9,1,61,39,85,50,35,11,0.28
argentina_primera_division_2026,2026-09-01,7,Tigre,Barracas Central,0,0,Barracas Central,away,49,14,2,8,6,8,4,0.56,,,,392,302,77.0,59,26,44,17,6,35,9,4,44,52,72,33,46,30,20,67,19,19,74,13,3,0,5,9,6,11,38,20,68,10,0,,1,1,,,0.08,,,115,70,61,67,18,0,81,33,71,44,50,23,0.61
argentina_primera_division_2026,2026-09-01,7,Tigre,Barracas Central,0,0,Tigre,home,51,6,1,5,3,3,1,0.27,,,,400,295,73.8,78,28,36,25,5,20,25,11,44,51,71,38,54,25,11,44,15,15,53,11,1,3,3,20,8,13,26,6,62,5,0,,2,2,,,0.3,,,110,55,50,80,14,2,75,29,76,48,46,23,0.27
