league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,Odense Boldklub,away,57,19,4,10,13,6,5,1.72,2,0,2,469,394,84.0,43,17,40,24,4,17,20,11,55,50,82,44,54,19,7,37,18,18,61,11,1,1,10,28,7,15,28,11,51,10,1,1,2,2,0,1,0.28,,2,143,98,69,72,31,2,,,,,,,1.51
dinamarca_danish_superliga_2026_2027,2026-07-24,1,Viborg FF,Odense Boldklub,1,0,Viborg FF,home,43,10,3,6,8,2,1,2.04,3,1,2,350,272,77.7,51,22,43,13,2,15,18,9,50,50,82,38,46,19,12,63,19,19,47,15,2,1,7,21,12,11,35,13,51,9,1,1,4,4,1,1,0.63,,3,81,45,56,46,17,3,,,,,,,2.03
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,AGF,home,54,13,3,7,8,5,3,1.91,2,1,1,390,314,80.5,46,24,52,27,3,11,15,8,53,63,81,55,68,22,10,45,24,24,54,12,1,1,10,24,10,22,25,9,36,5,0,,1,1,0,1,0.07,,0,141,102,72,59,34,4,,,,,,,1.62
dinamarca_danish_superliga_2026_2027,2026-07-25,1,AGF,Brøndby IF,1,1,Brøndby IF,away,46,13,2,7,9,4,4,0.81,1,1,0,338,271,80.2,37,13,35,20,6,30,10,3,30,37,81,26,32,22,12,55,12,12,67,23,5,1,6,34,12,12,47,8,35,17,0,,2,2,1,0,0.89,,2,85,62,73,31,22,0,,,,,,,0.91
dinamarca_danish_superliga_2026_2027,2026-07-26,1,AC Horsens,FC Nordsjælland,1,1,AC Horsens,home,30,8,4,3,5,3,1,1.5,2,1,1,310,240,77.4,50,16,32,7,3,43,6,3,50,49,57,31,54,23,8,35,20,20,65,7,1,3,4,9,12,7,47,17,43,9,0,1,5,5,1,0,0.73,,3,59,32,54,37,10,1,57,17,68,61,29,22,1.61
dinamarca_danish_superliga_2026_2027,2026-07-26,1,AC Horsens,FC Nordsjælland,1,1,FC Nordsjælland,away,70,23,6,8,15,8,9,2.66,6,1,5,714,632,88.5,61,34,56,20,4,20,23,7,30,51,57,26,46,23,15,65,12,12,92,8,1,1,13,19,5,7,11,5,48,4,0,0,3,3,1,1,0.04,,0,222,168,76,81,58,2,86,22,70,39,50,39,2.86
dinamarca_danish_superliga_2026_2027,2026-07-26,1,FC København,Lyngby,3,2,FC København,home,58,12,6,5,6,6,1,1.56,2,1,1,497,411,82.7,80,47,59,13,3,23,21,8,38,48,79,37,47,30,15,50,14,14,64,14,2,1,5,24,11,15,27,8,43,15,0,2,2,2,0,1,-0.53,1,2,114,69,61,52,26,0,87,29,79,45,44,26,1.54
dinamarca_danish_superliga_2026_2027,2026-07-26,1,FC København,Lyngby,3,2,Lyngby,away,42,21,6,7,16,5,8,2.34,7,1,6,352,253,71.9,56,18,32,15,7,47,6,2,33,52,79,42,53,30,15,50,28,28,54,15,2,1,5,29,8,14,24,5,37,10,0,0,3,3,1,0,-0.23,0,1,132,85,64,58,33,2,80,27,65,43,43,30,2.56
dinamarca_danish_superliga_2026_2027,2026-07-26,1,Sønderjyske Fodbold,FC Midtjylland,2,3,FC Midtjylland,away,58,12,5,3,5,7,4,0.82,0,0,,456,355,77.9,66,29,44,18,6,33,20,10,50,52,74,41,55,43,20,47,17,17,53,10,2,1,4,21,11,14,26,12,54,8,0,1,1,1,,1,-0.64,0,,127,78,61,78,15,,112,30,99,44,48,26,0.73
dinamarca_danish_superliga_2026_2027,2026-07-26,1,Sønderjyske Fodbold,FC Midtjylland,2,3,Sønderjyske Fodbold,home,42,17,4,7,14,3,6,1.09,2,2,,321,215,67.0,75,28,37,23,10,43,15,5,33,48,74,33,45,43,23,53,18,18,61,14,1,2,5,24,7,10,33,5,61,7,0,1,2,2,,2,-2.07,1,,118,77,65,61,34,,90,22,87,38,44,40,1.3
dinamarca_danish_superliga_2026_2027,2026-07-27,1,Randers FC,Silkeborg IF,1,1,Randers FC,home,46,8,2,2,6,2,4,0.6,1,0,1,535,462,86.4,29,15,52,22,4,18,17,9,53,51,62,30,48,23,13,57,17,17,65,13,1,1,5,20,4,4,22,8,51,6,0,0,5,5,2,,0.56,,1,152,116,76,56,17,1,151,33,123,41,72,26,0.54
dinamarca_danish_superliga_2026_2027,2026-07-27,1,Randers FC,Silkeborg IF,1,1,Silkeborg IF,away,54,12,6,3,6,6,3,1.09,1,1,0,629,559,88.9,33,8,24,17,5,29,15,5,33,49,62,32,52,23,10,43,14,14,64,4,0,3,7,19,7,13,25,10,53,7,0,1,1,1,0,,0.24,,0,141,113,80,48,23,1,166,25,135,51,82,24,1.09
dinamarca_danish_superliga_2026_2027,2026-08-01,2,Lyngby,AGF,2,2,AGF,away,38,8,3,2,5,3,3,1.35,3,2,1,297,204,68.7,56,10,18,9,2,22,15,5,33,36,75,32,43,38,9,24,10,10,60,14,3,3,2,26,11,18,50,14,45,16,0,0,5,5,,2,0.5,,1,87,49,56,47,19,4,,,,,,,1.43
dinamarca_danish_superliga_2026_2027,2026-08-01,2,Lyngby,AGF,2,2,Lyngby,home,62,21,8,6,14,7,7,3.37,5,1,4,463,355,76.7,54,19,35,26,6,23,11,5,45,64,75,43,57,38,29,76,26,26,65,19,2,0,4,28,3,13,26,8,53,4,1,1,1,1,,0,-0.18,,0,218,154,71,77,31,7,,,,,,,2.93
dinamarca_danish_superliga_2026_2027,2026-08-02,2,Brøndby IF,Viborg FF,1,0,Brøndby IF,home,55,23,6,8,13,10,9,1.34,1,,1,471,391,83.0,43,15,35,25,7,28,23,16,70,49,84,46,55,27,8,30,16,16,50,12,2,3,8,17,5,16,17,14,63,12,1,0,3,3,1,2,0.67,,1,183,133,73,70,35,5,99,24,79,35,72,41,1.14
dinamarca_danish_superliga_2026_2027,2026-08-02,2,Brøndby IF,Viborg FF,1,0,Viborg FF,away,45,13,3,7,12,1,3,1.95,4,,4,403,329,81.6,37,17,46,9,4,44,18,9,50,51,84,38,45,27,19,70,19,19,58,16,3,0,3,15,14,12,34,10,47,7,2,3,4,4,2,3,0.15,,1,93,55,59,45,27,0,80,20,87,56,54,24,2.24
dinamarca_danish_superliga_2026_2027,2026-08-02,2,FC Midtjylland,AC Horsens,2,1,AC Horsens,away,41,4,2,2,2,2,0,0.41,2,1,1,321,235,73.2,59,13,22,8,2,25,14,4,29,46,108,47,44,41,21,51,32,32,53,21,3,3,3,19,14,11,39,10,55,20,0,,5,5,3,4,0.27,,1,61,33,54,40,12,2,107,25,112,52,38,23,0.34
dinamarca_danish_superliga_2026_2027,2026-08-02,2,FC Midtjylland,AC Horsens,2,1,FC Midtjylland,home,59,19,7,8,9,10,4,1.97,4,1,3,452,371,82.1,69,34,49,23,8,35,24,11,46,54,108,61,56,41,20,49,30,30,67,11,2,1,7,26,3,21,23,6,60,19,0,,1,1,0,2,-0.41,,0,163,117,72,68,41,3,145,30,104,31,81,39,1.66
dinamarca_danish_superliga_2026_2027,2026-08-02,2,FC Nordsjælland,Randers FC,1,0,FC Nordsjælland,home,67,18,5,7,15,3,6,3.7,8,1,7,714,629,88.1,35,20,57,19,4,21,33,12,36,42,82,35,43,13,5,38,16,16,69,10,2,2,11,13,7,7,15,5,64,9,1,2,4,4,,,0.53,,0,230,168,73,89,62,3,112,21,79,34,80,45,3.31
dinamarca_danish_superliga_2026_2027,2026-08-02,2,FC Nordsjælland,Randers FC,1,0,Randers FC,away,33,11,4,5,4,7,2,0.74,1,0,1,361,294,81.4,52,23,44,9,1,11,16,8,50,58,82,47,57,13,8,62,30,30,63,7,2,2,4,9,13,10,46,18,51,8,2,0,4,4,,,0.76,,3,82,53,65,39,13,0,65,15,76,61,33,24,0.73
dinamarca_danish_superliga_2026_2027,2026-08-02,2,Silkeborg IF,FC København,1,3,FC København,away,56,10,6,1,6,4,3,1.2,2,2,0,580,500,86.2,43,16,37,14,4,29,11,4,36,48,67,30,45,14,9,64,16,16,69,9,2,1,4,24,9,10,22,7,55,15,0,1,4,4,,2,0.52,1,4,153,113,74,47,23,3,59,21,64,48,34,31,1.12
dinamarca_danish_superliga_2026_2027,2026-08-02,2,Silkeborg IF,FC København,1,3,Silkeborg IF,home,44,13,5,6,4,9,2,1.52,3,1,2,453,386,85.2,46,19,41,13,1,0,14,6,43,52,67,37,55,14,5,36,22,22,50,10,2,1,7,15,5,9,25,11,52,8,0,2,3,3,,0,-0.58,1,0,90,60,67,48,14,0,48,25,54,46,35,29,1.24
dinamarca_danish_superliga_2026_2027,2026-08-03,2,Odense Boldklub,Sønderjyske Fodbold,1,0,Odense Boldklub,home,56,17,4,10,12,5,3,2.11,2,1,1,499,442,88.6,46,24,52,24,5,21,17,6,35,48,75,38,51,25,10,40,22,22,64,10,1,,7,23,7,12,42,7,49,11,0,0,2,2,2,0,0.7,,0,146,120,82,79,24,2,100,26,85,35,68,39,2.12
dinamarca_danish_superliga_2026_2027,2026-08-03,2,Odense Boldklub,Sønderjyske Fodbold,1,0,Sønderjyske Fodbold,away,44,8,3,1,6,2,4,0.59,2,0,2,396,311,78.5,76,35,46,20,5,25,15,5,33,52,75,37,49,25,15,60,22,22,55,12,1,,9,28,14,10,26,6,43,12,0,1,3,3,0,1,0.07,,1,115,72,63,68,19,0,89,22,84,45,52,33,0.59
dinamarca_danish_superliga_2026_2027,2026-08-07,3,Sønderjyske Fodbold,Viborg FF,0,0,Sønderjyske Fodbold,home,35,9,3,6,5,4,0,0.62,1,,1,316,234,74.1,53,19,36,12,2,17,15,8,53,47,73,34,47,16,8,50,20,20,65,18,1,1,4,11,12,7,31,16,56,8,0,,4,4,1,,0.26,,,90,49,54,62,10,1,67,23,78,58,31,19,0.59
dinamarca_danish_superliga_2026_2027,2026-08-07,3,Sønderjyske Fodbold,Viborg FF,0,0,Viborg FF,away,65,18,4,8,15,3,6,1.47,1,,1,599,521,87.0,48,31,65,22,3,14,17,8,47,53,73,39,53,16,8,50,15,15,47,7,0,4,7,24,6,18,16,8,53,11,0,,3,3,1,,0.4,,,179,143,80,80,41,7,92,27,73,34,65,39,1.53
dinamarca_danish_superliga_2026_2027,2026-08-09,3,AC Horsens,Brøndby IF,0,2,AC Horsens,home,52,10,3,5,5,5,2,0.49,0,0,0,459,387,84.3,49,25,51,16,2,13,8,5,63,41,66,27,41,22,9,41,13,13,92,18,2,3,3,29,7,9,22,5,49,13,0,,1,1,0,1,-1.15,,1,116,85,73,53,15,2,63,37,67,50,20,13,0.45
