league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,GFS Panetolikos,home,44,20,4,7,15,5,9,2.46,4,2,2,312,234,75.0,57,22,39,13,8,62,11,6,55,48,69,31,45,38,20,53,10,10,40,22,3,0,4,17,6,15,28,10,45,5,1,0,3,3,,2,0.89,,,138,90,65,60,36,4,111,25,78,37,63,38,2.49
grecia_stoiximan_super_league_2026_2027,2026-08-29,2,GFS Panetolikos,PS Kalamata,2,0,PS Kalamata,away,56,11,3,7,4,7,1,1.02,2,0,2,393,320,81.4,54,33,61,23,4,17,12,6,50,52,69,38,55,38,18,47,10,10,70,15,5,1,3,17,6,22,26,9,34,4,1,2,2,2,,0,0.01,,,108,82,76,49,11,4,100,23,86,43,51,34,1.02
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,AE Kifisia,AEK Athens,1,1,AE Kifisia,home,35,14,3,8,10,4,3,1.11,1,0,1,286,235,82.2,39,15,38,10,5,50,15,12,80,45,65,33,51,30,10,33,7,7,43,20,5,3,1,13,6,14,30,9,42,4,0,,4,4,1,3,0.24,,,88,61,69,45,19,1,70,31,61,46,53,23,1.11
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,AE Kifisia,AEK Athens,1,1,AEK Athens,away,65,9,5,4,5,4,1,0.42,1,1,0,551,470,85.3,62,27,44,15,5,33,8,6,75,55,65,32,49,30,20,67,7,7,43,14,2,2,2,20,11,20,17,5,35,5,0,,2,2,0,0,-0.39,,,93,54,58,49,18,3,90,25,86,49,52,26,0.42
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,APS Atromitos Athinon,PAOK,1,2,APS Atromitos Athinon,home,46,16,3,9,6,10,4,1.33,2,0,2,328,255,77.7,45,17,38,18,3,17,13,6,46,40,91,36,40,20,8,40,11,11,82,19,1,0,2,24,12,18,29,9,40,10,0,,2,2,,0,-1.11,2,0,89,58,65,53,17,2,72,24,76,42,49,34,1.13
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,APS Atromitos Athinon,PAOK,1,2,PAOK,away,54,14,4,9,13,1,1,1.61,4,2,2,394,311,78.9,45,20,44,21,7,33,29,21,72,60,91,55,60,20,12,60,17,17,65,18,1,2,6,22,10,19,37,11,39,4,1,,1,1,,2,-0.17,0,1,127,84,66,43,46,3,73,17,73,39,58,44,1.48
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,Aris Thessaloniki,OFI Crete,2,1,Aris Thessaloniki,home,42,17,10,2,9,8,5,1.75,3,1,2,386,323,83.7,48,24,50,12,3,25,12,9,75,57,77,43,56,13,8,62,12,12,75,16,5,3,3,12,9,22,15,5,46,7,0,,2,2,0,0,0.25,0,1,83,65,78,30,23,4,70,14,73,44,47,42,1.75
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,Aris Thessaloniki,OFI Crete,2,1,OFI Crete,away,58,10,3,5,8,2,2,1.34,3,0,3,523,458,87.6,54,38,70,16,4,25,15,8,53,43,77,34,44,13,5,38,10,10,60,23,2,0,1,11,3,16,17,12,46,5,0,,8,8,1,1,-0.36,2,2,118,87,74,66,16,1,86,20,78,43,64,37,1.36
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,Asteras Aktor,Olympiacos FC,0,1,Asteras Aktor,home,50,10,3,5,8,2,2,0.83,2,0,2,389,296,76.1,90,47,52,16,5,31,16,6,38,51,71,36,51,56,29,52,12,12,67,8,3,4,3,29,5,18,29,6,56,8,0,0,6,6,1,1,-0.15,,1,117,77,66,73,20,2,108,33,116,48,58,19,0.83
grecia_stoiximan_super_league_2026_2027,2026-08-30,2,Asteras Aktor,Olympiacos FC,0,1,Olympiacos FC,away,50,15,7,5,10,5,3,1.7,6,1,5,386,278,72.0,73,35,48,20,5,25,17,9,53,49,71,35,49,56,27,48,18,18,67,18,4,2,6,21,7,8,28,7,57,4,2,1,3,3,0,0,0.11,,0,124,55,44,76,20,2,111,24,96,45,58,31,1.71
grecia_stoiximan_super_league_2026_2027,2026-08-31,2,APO Levadiakos,Panathinaikos FC,0,2,APO Levadiakos,home,41,8,2,4,6,2,2,0.96,1,0,1,333,256,76.9,61,29,48,13,4,31,17,8,47,61,97,60,62,26,15,58,32,32,53,18,2,1,5,27,9,19,29,8,37,5,0,0,5,5,2,0,-0.54,,,81,51,63,45,13,2,87,29,82,50,35,21,1.23
grecia_stoiximan_super_league_2026_2027,2026-08-31,2,APO Levadiakos,Panathinaikos FC,0,2,Panathinaikos FC,away,59,15,6,5,11,4,4,1.09,1,1,0,485,425,87.6,45,30,67,14,5,36,24,6,25,39,97,37,38,26,11,42,14,14,71,19,4,1,5,23,4,18,14,11,44,15,1,1,2,2,1,1,0.39,,,129,99,77,59,32,7,114,32,104,42,54,26,1.2
