league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
italia_serie_a_2026_2027,2026-08-29,2,Juventus,Parma,2,0,Juventus,home,58,21,6,12,10,11,3,1.58,2,,2,533,482,90.4,27,12,44,29,7,24,11,6,55,53,65,34,52,22,12,55,16,16,75,23,2,1,10,22,4,12,13,11,42,5,2,1,3,3,0,0,0.99,0,1,217,193,89,76,32,6,91,23,52,27,66,50,1.68
italia_serie_a_2026_2027,2026-08-29,2,Juventus,Parma,2,0,Parma,away,42,4,3,1,3,1,0,0.25,0,,0,404,341,84.4,42,20,48,8,2,25,12,3,25,47,65,31,48,22,10,45,10,10,60,12,3,1,2,12,11,23,27,8,36,7,0,0,4,4,1,1,-0.53,1,0,69,42,61,32,15,1,56,20,71,69,29,11,0.22
italia_serie_a_2026_2027,2026-08-30,2,Cagliari,Inter,0,1,Cagliari,home,35,10,0,8,5,5,2,0.48,0,,0,362,305,84.3,45,24,53,19,3,16,13,4,31,38,55,22,40,21,7,33,13,13,62,6,2,4,8,12,18,5,16,3,42,10,0,0,5,5,2,1,0.55,,1,75,54,72,43,11,1,87,23,78,53,38,24,0.45
italia_serie_a_2026_2027,2026-08-30,2,Cagliari,Inter,0,1,Inter,away,65,31,7,17,25,6,7,3.67,6,,6,683,624,91.4,53,39,74,17,11,65,10,8,80,62,55,33,60,21,14,67,19,19,53,5,1,1,6,10,8,6,19,9,53,11,0,1,0,0,1,3,0.0,,0,179,145,81,62,43,2,109,20,90,51,58,29,3.8
italia_serie_a_2026_2027,2026-08-30,2,Lazio,Genoa,1,0,Genoa,away,54,8,1,4,5,3,3,0.42,2,0,2,565,488,86.4,42,17,40,10,4,40,12,9,75,61,69,43,62,20,11,55,17,17,35,6,2,2,2,22,9,18,18,9,40,11,0,,1,1,,0,-0.67,,1,103,65,63,44,18,1,70,25,75,63,32,12,0.58
italia_serie_a_2026_2027,2026-08-30,2,Lazio,Genoa,1,0,Lazio,home,46,15,2,8,9,6,5,1.62,4,1,3,488,418,85.7,46,28,61,8,1,13,13,6,46,39,69,26,38,20,9,45,14,14,64,18,1,0,4,22,6,6,15,11,48,10,1,,1,1,,1,0.04,,0,169,137,81,60,31,0,83,21,76,47,50,32,1.55
italia_serie_a_2026_2027,2026-08-30,2,SSC Napoli,Como,1,2,Como,away,58,21,6,10,13,8,5,1.05,0,,0,609,555,91.1,44,20,45,19,6,32,15,9,60,56,56,33,59,24,12,50,16,16,56,5,0,0,7,12,6,9,26,14,37,6,0,1,1,1,0,1,-0.54,0,,161,134,83,65,39,,66,19,71,56,44,25,1.02
italia_serie_a_2026_2027,2026-08-30,2,SSC Napoli,Como,1,2,SSC Napoli,home,42,13,2,7,9,4,4,1.39,1,,1,442,385,87.1,35,19,54,16,5,31,17,6,35,44,56,23,41,24,12,50,12,12,50,9,1,9,2,16,10,5,13,4,37,5,0,0,4,4,1,0,-0.38,1,,145,108,74,64,30,,64,28,55,39,50,33,1.35
italia_serie_a_2026_2027,2026-08-31,2,Atalanta,Bologna,1,0,Atalanta,home,42,6,2,2,3,3,2,0.15,0,,0,478,407,85.1,39,19,49,5,2,40,11,5,45,43,60,26,43,10,4,40,8,8,75,10,1,0,1,21,11,13,13,12,31,12,0,0,3,3,1,,1.13,,1,123,87,71,55,11,0,42,15,53,50,39,35,0.16
italia_serie_a_2026_2027,2026-08-31,2,Atalanta,Bologna,1,0,Bologna,away,58,16,3,10,10,6,3,1.05,1,,1,683,620,90.8,44,25,57,6,0,0,8,6,75,57,60,34,57,10,6,60,18,18,50,13,0,4,2,15,3,10,17,11,46,6,1,2,1,1,0,,-0.95,,0,124,98,79,46,19,1,52,12,58,61,49,27,1.35
italia_serie_a_2026_2027,2026-08-31,2,Lecce,AS Roma,0,4,AS Roma,away,64,15,8,7,10,5,0,3.27,8,4,4,677,597,88.2,39,20,51,6,0,0,22,11,50,62,86,53,62,12,8,67,33,33,58,8,1,9,1,8,8,9,7,13,72,5,1,2,2,2,,,0.2,0,0,175,140,80,69,40,0,86,24,72,38,62,38,3.35
italia_serie_a_2026_2027,2026-08-31,2,Lecce,AS Roma,0,4,Lecce,home,36,7,3,4,3,4,0,0.8,2,0,2,375,294,78.4,44,7,16,7,2,29,24,10,42,38,86,33,38,12,4,33,16,16,44,9,1,0,2,18,8,8,21,8,49,19,0,1,4,4,,,-0.21,1,1,65,44,68,36,13,1,60,19,61,64,38,17,0.74
