league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
liga_mx_apertura_2026,2026-08-24,5,Pumas UNAM,Club Necaxa,1,1,Pumas UNAM,home,48,23,5,10,15,8,8,1.2,2,1,1,426,354,83.1,41,19,46,28,11,39,13,9,69,49,63,33,52,28,12,43,13,13,85,10,2,2,8,28,9,12,25,13,41,11,0,,3,3,1,0,0.17,,,100,72,72,41,32,1,93,27,83,45,49,28,1.28
liga_mx_apertura_2026,2026-08-24,5,Pumas UNAM,Club Necaxa,1,1,Club Necaxa,away,52,16,4,5,10,6,7,1.46,2,1,1,466,379,81.3,62,30,48,16,6,38,14,5,36,51,63,30,48,28,16,57,15,15,67,12,2,3,4,26,10,10,30,5,54,4,0,,4,4,2,1,0.24,,,127,85,67,59,29,2,107,28,89,43,63,29,1.38
liga_mx_apertura_2026,2026-08-23,5,Atlético San Luis,CF Pachuca,1,1,Atlético San Luis,home,69,17,7,7,11,6,3,2.71,6,0,6,572,502,87.8,31,15,48,21,7,33,11,2,18,49,72,38,53,31,12,39,20,20,65,13,0,1,1,16,8,17,18,6,39,8,0,,1,1,,,0.06,,,140,113,81,62,24,5,98,31,75,44,50,25,2.3
liga_mx_apertura_2026,2026-08-23,5,Atlético San Luis,CF Pachuca,1,1,CF Pachuca,away,31,10,2,6,10,0,2,0.99,3,1,2,254,182,71.7,51,20,39,12,7,58,19,7,37,51,72,34,47,31,19,61,17,17,65,17,2,1,4,17,11,13,30,7,35,8,0,,5,5,,,0.27,,,53,26,49,35,17,3,69,21,82,60,26,19,0.67
liga_mx_apertura_2026,2026-08-23,5,Cruz Azul,Atlas FC,0,2,Cruz Azul,home,52,25,5,13,11,14,7,1.56,2,0,2,442,356,80.5,53,35,66,25,6,24,9,4,44,62,65,41,63,14,8,57,26,26,58,7,0,1,9,26,8,11,7,3,48,13,0,,4,4,1,,-0.07,,0,159,118,74,56,31,2,87,24,70,43,71,33,1.47
liga_mx_apertura_2026,2026-08-23,5,Cruz Azul,Atlas FC,0,2,Atlas FC,away,48,11,5,4,7,4,2,1.65,3,2,1,426,336,78.9,58,18,31,9,2,22,11,1,9,38,65,24,37,14,6,43,18,18,83,11,1,1,4,14,19,7,23,16,47,16,2,,5,5,0,,0.54,,1,101,70,69,54,16,0,72,26,77,48,50,26,1.65
liga_mx_apertura_2026,2026-08-23,5,CD Guadalajara,Club Tijuana,5,2,CD Guadalajara,home,59,13,8,3,10,3,2,2.3,4,3,1,561,498,88.8,39,15,38,15,6,40,24,13,54,44,76,35,46,27,10,37,12,12,75,15,3,0,4,18,11,9,24,7,39,6,0,,2,2,,,-0.57,,1,185,148,80,73,31,4,91,30,63,35,56,35,2.28
liga_mx_apertura_2026,2026-08-23,5,CD Guadalajara,Club Tijuana,5,2,Club Tijuana,away,41,16,4,9,10,6,3,1.09,4,1,3,374,323,86.4,52,33,63,28,8,29,14,10,71,56,76,41,54,27,17,63,17,17,71,10,1,1,4,18,3,15,31,8,40,8,0,,3,3,,,-1.25,,1,85,67,79,33,24,0,66,24,61,48,36,28,1.18
liga_mx_apertura_2026,2026-08-23,5,Club Puebla,Santos Laguna,3,2,Club Puebla,home,38,16,7,9,7,9,0,1.02,1,,1,327,277,84.7,65,35,54,19,6,32,28,13,46,47,75,37,49,13,4,31,16,16,56,11,0,4,6,17,7,8,15,9,45,6,0,,1,1,,2,-1.24,,0,90,65,72,50,13,1,56,22,53,33,42,45,1.02
liga_mx_apertura_2026,2026-08-23,5,Club Puebla,Santos Laguna,3,2,Santos Laguna,away,62,6,2,3,3,3,1,0.37,0,,0,539,483,89.6,60,34,57,19,3,16,17,7,41,53,77,39,51,13,9,69,22,22,59,8,1,2,7,15,13,11,15,5,33,7,0,,4,4,,1,-0.54,,1,96,68,71,52,12,1,69,24,54,39,51,37,0.32
liga_mx_apertura_2026,2026-08-22,5,Querétaro FC,CD Toluca,1,2,Querétaro FC,home,50,18,3,9,11,7,6,1.7,2,1,1,370,300,81.1,51,24,47,33,10,30,12,4,33,35,64,21,33,33,13,39,12,12,83,15,3,1,7,19,12,7,24,4,46,7,0,,1,1,,1,-0.61,,1,123,91,74,62,26,1,87,27,70,32,41,41,1.7
