league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,Legia Warszawa,away,59,25,7,10,19,6,8,2.96,7,1,6,477,406,85.1,52,22,42,29,11,38,9,6,67,49,46,25,54,51,23,45,5,5,40,14,1,4,5,16,6,15,27,5,43,4,1,,4,4,2,1,1.4,,1,113,80,71,52,37,2,71,33,54,37,46,30,3.22
polonia_ekstraklasa_2026_2027,2026-07-24,1,Pogoń Szczecin,Legia Warszawa,0,1,Pogoń Szczecin,home,41,10,5,5,7,3,1,1.01,4,0,4,340,262,77.1,63,26,41,12,5,42,5,3,60,51,46,21,46,51,28,55,7,7,57,15,1,1,3,10,10,14,32,5,38,3,0,,5,5,0,1,1.1,,1,79,45,57,54,12,1,55,26,52,58,30,16,1.08
polonia_ekstraklasa_2026_2027,2026-07-24,1,Radomiak Radom,Wieczysta Kraków,2,1,Radomiak Radom,home,42,13,4,4,8,5,5,2.15,5,2,3,372,305,82.0,46,19,41,12,4,33,16,10,63,53,75,42,56,19,8,42,13,13,62,19,3,0,5,16,9,19,25,10,36,8,0,,2,2,1,2,0.41,,1,92,57,62,39,25,,65,22,62,54,30,24,1.68
polonia_ekstraklasa_2026_2027,2026-07-24,1,Radomiak Radom,Wieczysta Kraków,2,1,Wieczysta Kraków,away,58,13,3,8,6,7,2,1.77,2,1,1,500,442,88.4,45,26,58,18,3,17,12,2,17,47,75,33,44,19,11,58,14,14,79,19,6,2,2,17,4,19,17,9,37,3,1,,2,2,0,1,-0.25,,0,196,169,86,52,23,,81,24,54,39,53,37,2.0
polonia_ekstraklasa_2026_2027,2026-07-25,1,Górnik Zabrze,Śląsk Wrocław,2,1,Górnik Zabrze,home,58,12,4,8,6,6,0,0.7,0,0,0,471,397,84.3,58,32,55,26,7,27,11,6,55,52,65,34,52,24,12,50,14,14,57,12,2,0,8,27,8,15,24,14,40,12,0,,1,1,1,,-0.31,1,1,161,126,78,54,28,3,110,27,87,34,58,39,0.66
polonia_ekstraklasa_2026_2027,2026-07-25,1,Górnik Zabrze,Śląsk Wrocław,2,1,Śląsk Wrocław,away,42,14,2,7,10,4,5,1.29,2,1,1,356,267,75.0,46,13,28,11,5,45,14,4,29,48,65,31,48,24,12,50,17,17,65,15,1,1,6,20,12,12,40,9,44,4,0,,3,3,1,,-0.73,0,0,122,76,62,46,25,2,71,22,67,38,46,40,1.54
polonia_ekstraklasa_2026_2027,2026-07-25,1,Jagiellonia Białystok,MKS Korona Kielce,1,0,Jagiellonia Białystok,home,62,11,4,3,8,3,4,1.39,1,1,,465,395,84.9,52,27,52,19,8,42,19,11,58,58,72,41,57,35,21,60,14,14,43,11,0,,3,14,10,19,39,5,41,9,0,0,1,1,,3,0.14,,0,117,85,73,58,25,2,93,22,82,55,50,23,1.08
polonia_ekstraklasa_2026_2027,2026-07-25,1,Jagiellonia Białystok,MKS Korona Kielce,1,0,MKS Korona Kielce,away,38,16,1,8,8,8,7,0.78,0,0,,282,215,76.2,47,20,43,17,4,24,11,4,36,42,72,31,43,35,14,40,17,17,65,19,1,,6,25,7,11,28,5,45,7,0,1,4,4,,1,0.19,,1,100,58,58,48,33,2,87,20,71,44,53,36,0.77
polonia_ekstraklasa_2026_2027,2026-07-25,1,Lech Poznań,KS Cracovia,0,0,KS Cracovia,away,42,8,1,3,5,3,4,0.84,1,,1,340,264,77.6,40,12,30,16,3,19,8,4,50,48,56,30,54,29,11,38,18,18,61,13,3,2,6,19,7,9,38,5,41,4,0,,7,7,1,3,0.6,,,67,42,63,34,16,1,54,22,57,55,22,23,0.88
polonia_ekstraklasa_2026_2027,2026-07-25,1,Lech Poznań,KS Cracovia,0,0,Lech Poznań,home,58,18,7,6,9,9,5,0.94,2,,2,460,386,83.9,36,17,47,26,9,35,15,6,40,52,56,26,46,29,18,62,8,8,63,9,1,1,9,18,5,13,22,6,45,9,0,,1,1,0,2,0.33,,,150,111,74,64,32,4,71,36,59,33,38,31,0.79
