league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
portugal_liga_betclic_2026_2027,2026-08-07,1,Estoril Praia,Famalicão,1,1,Estoril Praia,home,50,14,3,8,10,4,3,1.06,1,1,0,429,360,83.9,42,19,45,18,3,17,13,4,31,47,71,32,45,25,13,52,17,17,65,12,1,3,7,16,7,13,22,14,40,9,0,2,0,0,,2,-0.11,,1,140,106,76,49,31,2,72,21,62,47,46,32,0.99
portugal_liga_betclic_2026_2027,2026-08-07,1,Estoril Praia,Famalicão,1,1,Famalicão,away,50,6,3,2,4,2,1,1.47,3,1,2,433,362,83.6,38,13,34,10,2,20,15,9,60,53,71,39,55,25,12,48,18,18,56,13,2,1,6,24,9,12,29,12,42,11,0,0,2,2,,0,-0.47,,0,79,47,59,50,20,0,75,21,80,54,36,25,1.43
portugal_liga_betclic_2026_2027,2026-08-08,1,CF Estrela Amadora,Sporting CP,2,2,CF Estrela Amadora,home,44,8,3,3,4,4,2,1.1,2,0,2,349,278,79.7,45,25,56,16,2,13,23,9,39,46,89,40,45,30,15,50,19,19,53,13,2,1,5,18,13,14,20,6,45,7,0,0,6,6,1,0,0.34,0,,81,52,64,38,10,2,80,26,72,45,34,29,1.01
portugal_liga_betclic_2026_2027,2026-08-08,1,CF Estrela Amadora,Sporting CP,2,2,Sporting CP,away,56,15,8,5,11,4,2,2.63,5,1,4,446,393,88.1,38,21,55,21,5,24,26,15,58,54,89,49,55,30,15,50,21,21,81,14,2,2,4,17,7,13,18,6,51,8,0,1,2,2,0,1,-1.22,1,,112,88,79,56,29,3,85,33,67,39,52,28,2.63
portugal_liga_betclic_2026_2027,2026-08-08,1,CS Marítimo,Casa Pia,1,0,CS Marítimo,home,39,16,4,8,12,4,4,1.39,2,1,1,305,238,78.0,39,14,36,14,7,50,8,6,75,50,71,36,51,41,20,49,18,18,72,17,2,0,2,15,6,13,35,4,39,9,0,1,4,4,,1,0.37,,1,77,42,55,39,26,2,,,,,,,1.28
portugal_liga_betclic_2026_2027,2026-08-08,1,CS Marítimo,Casa Pia,1,0,Casa Pia,away,61,9,4,2,6,3,3,0.67,1,0,1,470,419,89.1,40,24,60,27,4,15,20,8,40,50,71,35,49,41,21,51,11,11,45,13,2,1,6,24,8,17,14,5,30,6,0,1,3,3,,1,1.0,,1,99,59,60,66,16,1,,,,,,,0.64
portugal_liga_betclic_2026_2027,2026-08-08,1,Vitória SC,FC Arouca,0,1,FC Arouca,away,42,4,2,1,3,1,1,0.43,1,1,0,380,298,78.4,71,24,34,6,2,33,11,2,18,46,62,31,50,23,8,35,20,20,45,7,5,3,2,17,23,9,39,11,40,9,0,0,3,3,1,2,0.18,0,2,61,28,46,48,6,0,,,,,,,0.49
portugal_liga_betclic_2026_2027,2026-08-08,1,Vitória SC,FC Arouca,0,1,Vitória SC,home,58,24,3,14,16,8,7,2.28,3,0,3,495,429,86.7,53,41,77,46,10,22,10,6,60,54,62,31,50,23,15,65,18,18,67,9,2,1,5,31,2,7,14,12,56,16,0,2,1,1,0,0,-0.24,1,0,174,135,78,75,38,3,,,,,,,2.22
portugal_liga_betclic_2026_2027,2026-08-09,1,FC Porto,FC Alverca,2,0,FC Alverca,away,46,15,5,7,8,7,3,1.6,3,0,3,339,268,79.1,39,16,41,14,3,21,17,10,59,55,76,46,61,17,5,29,23,23,43,10,4,,9,18,9,13,30,4,36,10,0,,1,1,0,,-0.37,,,62,36,58,31,14,2,46,15,54,53,23,32,1.66
portugal_liga_betclic_2026_2027,2026-08-09,1,FC Porto,FC Alverca,2,0,FC Porto,home,54,9,3,4,7,2,2,2.61,4,2,2,397,344,86.6,43,22,51,22,3,14,19,3,16,45,76,30,39,17,12,71,17,17,53,13,0,,7,19,10,8,17,10,48,7,0,,5,5,1,,0.38,,,108,81,75,61,26,7,45,12,45,41,35,47,2.59
portugal_liga_betclic_2026_2027,2026-08-09,1,Gil Vicente,Rio Ave,1,0,Gil Vicente,home,63,13,5,5,8,5,3,1.66,3,1,2,487,432,88.7,29,12,41,29,4,14,17,7,41,45,65,30,46,22,9,41,16,16,63,14,2,2,5,32,4,8,31,1,41,7,1,,2,2,0,2,0.14,,4,142,117,82,52,19,2,,,,,,,1.5
portugal_liga_betclic_2026_2027,2026-08-09,1,Gil Vicente,Rio Ave,1,0,Rio Ave,away,37,6,2,3,1,5,1,0.19,1,0,1,285,225,78.9,57,26,46,14,3,21,12,5,42,55,65,35,54,22,13,59,17,17,82,9,3,0,2,17,7,14,39,7,36,9,0,,4,4,1,2,0.61,,0,90,54,60,47,14,0,,,,,,,0.31
portugal_liga_betclic_2026_2027,2026-08-09,1,Moreirense,Sporting Braga,2,2,Moreirense,home,36,7,3,2,2,5,2,0.22,1,0,1,340,256,75.3,64,19,30,15,4,27,18,4,22,45,78,38,49,29,10,34,15,15,80,15,4,0,4,22,7,20,30,22,46,7,0,0,2,2,,,-0.92,1,,68,33,49,46,4,0,61,15,79,59,23,26,0.21
portugal_liga_betclic_2026_2027,2026-08-09,1,Moreirense,Sporting Braga,2,2,Sporting Braga,away,64,13,4,5,9,4,4,1.32,4,2,2,616,522,84.7,57,23,40,7,1,14,12,5,42,55,78,40,51,29,19,66,21,21,62,20,2,3,2,17,2,15,23,10,62,8,1,2,1,1,,,-1.39,0,,195,143,73,82,23,3,84,20,79,41,49,39,0.94
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,Académico Viseu FC,home,57,9,1,4,4,5,4,0.8,1,0,1,510,438,85.9,67,35,52,16,3,19,17,8,47,51,68,33,49,23,13,57,9,9,78,13,,0,1,20,3,19,17,9,42,10,1,1,1,1,1,,-0.77,,1,88,58,66,47,12,1,67,28,73,47,26,25,0.8
portugal_liga_betclic_2026_2027,2026-08-29,4,Académico Viseu FC,FC Porto,0,3,FC Porto,away,43,5,4,0,4,1,1,1.47,2,2,0,384,321,83.6,43,22,51,6,2,33,9,3,33,49,68,35,51,23,10,43,19,19,74,19,,2,1,18,8,13,18,16,40,3,0,0,1,1,0,,0.2,,2,82,52,63,38,16,0,62,29,53,41,37,30,1.47
portugal_liga_betclic_2026_2027,2026-08-30,4,CD Nacional,CF Estrela Amadora,2,3,CD Nacional,home,51,10,5,2,4,6,3,0.83,1,1,0,410,337,82.2,56,24,43,17,2,12,17,4,24,48,61,26,43,23,14,61,15,15,53,12,2,1,4,23,13,9,21,12,40,6,0,,1,1,0,2,-1.4,1,1,85,53,62,52,12,1,67,16,79,56,34,28,0.83
portugal_liga_betclic_2026_2027,2026-08-30,4,CD Nacional,CF Estrela Amadora,2,3,CF Estrela Amadora,away,49,14,4,8,9,5,2,2.1,4,3,1,390,319,81.8,54,20,37,16,3,19,17,5,29,52,61,35,57,23,9,39,19,19,74,9,1,1,3,19,5,11,26,7,56,3,0,,3,3,1,0,-0.29,0,0,89,60,67,42,27,2,71,25,62,40,47,35,2.1
portugal_liga_betclic_2026_2027,2026-08-30,4,Casa Pia,Moreirense,0,1,Casa Pia,home,63,14,2,10,10,4,2,0.77,1,,1,444,353,79.5,53,17,32,37,10,27,26,15,58,56,91,53,58,44,22,50,21,21,57,14,1,3,5,35,2,18,27,15,45,10,2,,4,4,,0,-0.54,,1,145,87,60,76,24,5,122,32,92,33,76,35,0.77
portugal_liga_betclic_2026_2027,2026-08-30,4,Casa Pia,Moreirense,0,1,Moreirense,away,37,6,5,1,3,3,0,0.28,2,,2,278,168,60.4,71,17,24,5,1,20,10,3,30,44,91,38,42,44,22,50,21,21,81,18,3,0,1,25,16,14,55,12,40,14,0,,2,2,,2,0.22,,0,69,29,42,43,7,1,63,28,74,59,34,13,0.28
portugal_liga_betclic_2026_2027,2026-08-30,4,Famalicão,Gil Vicente,0,0,Famalicão,home,56,7,1,6,2,5,0,0.23,,,,487,416,85.4,48,21,44,28,4,14,15,7,47,63,63,39,62,21,14,67,15,15,67,10,2,0,6,22,6,19,13,10,41,3,0,,1,1,0,0,0.02,,,101,73,72,36,12,2,,,,,,,0.23
portugal_liga_betclic_2026_2027,2026-08-30,4,Famalicão,Gil Vicente,0,0,Gil Vicente,away,44,7,1,5,3,4,1,0.28,,,,383,319,83.3,51,26,51,14,5,36,10,4,40,37,63,24,38,21,7,33,11,11,55,19,4,1,3,21,11,10,35,5,36,9,0,,1,1,1,2,0.03,,,82,54,66,45,10,1,,,,,,,0.28
portugal_liga_betclic_2026_2027,2026-08-31,4,Benfica,Estoril Praia,2,1,Benfica,home,66,25,8,7,15,10,10,2.03,2,,2,616,547,88.8,45,28,62,22,7,32,17,7,41,48,71,34,48,28,14,50,15,15,80,14,0,2,9,18,3,12,14,11,44,6,1,1,1,1,0,1,-0.07,,,233,190,82,90,49,5,109,36,73,26,73,38,2.03
portugal_liga_betclic_2026_2027,2026-08-31,4,Benfica,Estoril Praia,2,1,Estoril Praia,away,34,4,2,1,3,1,1,0.36,0,,0,327,243,74.3,64,34,53,3,1,0,16,7,44,52,71,37,52,28,14,50,16,16,50,12,1,0,0,21,13,14,40,13,35,6,0,1,6,6,1,0,0.85,,,69,34,49,45,8,1,76,32,77,56,28,12,0.36
portugal_liga_betclic_2026_2027,2026-08-31,4,Sporting Braga,Vitória SC,1,0,Sporting Braga,home,54,9,4,1,6,3,4,0.83,2,,2,489,396,81.0,53,13,25,5,1,0,14,4,29,54,58,29,50,38,23,61,8,8,63,11,2,5,2,23,2,18,25,16,49,4,1,0,2,2,1,,0.07,,1,133,87,65,67,22,2,,,,,,,0.83
portugal_liga_betclic_2026_2027,2026-08-31,4,Sporting Braga,Vitória SC,1,0,Vitória SC,away,46,8,2,5,2,6,1,0.23,1,,1,406,304,74.9,70,26,37,10,2,20,6,4,67,46,58,29,50,38,15,39,14,14,57,18,3,1,2,21,6,11,21,9,50,6,0,1,3,3,0,,-0.1,,0,80,37,46,57,7,2,,,,,,,0.23
